,0
sex,-0.0
age,0.0
bmi,-0.0
smoking,0.0
diabetes,0.0
hypertension,-0.0002678523972537236
dyslipidemia,-0.0
chestpain,0.0009057894219139117
dyspnea,-0.0005937480393142159
lm - type of stenosis,5.43593307580403e-05
lada - type of stenosis,0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.0003198508510259552
d2 - type of stenosis,9.947734211825134e-05
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.0
lcxc -type of stenosis,-0.0005902846352450611
lpd - type of stenosis,-0.00018766236786447614
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,-0.0
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.00028444963060518367
rcac - type of stenosis,-0.0
rpd - type of stenosis,-0.0
rpl - type of stenosis,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0020296619037577903
max high risk cta type,0.0
sis,-0.0032047342420934897
CTA PCA1,0.001493494253702336
