,0
sex,-0.0005503669381605112
age,0.0
bmi,-6.140115795152158e-05
smoking,0.00012744741527978158
diabetes,-0.0
hypertension,-0.0
dyslipidemia,-0.0
chestpain,0.0006511666426075372
dyspnea,-0.00035318400572351415
lm - type of stenosis,0.0
lada - type of stenosis,-0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.0
d2 - type of stenosis,0.0
lcxa - type of stenosis,1.2025068567706245e-05
lcxb - type of stenosis,-0.0
lcxc -type of stenosis,-0.0006223334797695621
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0007476962969284208
lom2 - type of stenosis,0.0
im - type of stenosis,0.0
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0002190142159062495
rcac - type of stenosis,0.0
rpd - type of stenosis,-0.0
rpl - type of stenosis,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0027519746318142154
max high risk cta type,0.0
sis,-0.00247847363792664
CTA PCA1,0.001296439388766548
