,0
sex,-0.0
age,0.0003612957834025058
bmi,-0.0
smoking,0.0004619503522023084
diabetes,-0.0
hypertension,-0.00029666394875295116
dyslipidemia,-0.0
chestpain,0.0010384590776144503
dyspnea,-3.4893316866380234e-05
lm - type of stenosis,0.0
lada - type of stenosis,0.0
ladb - type of stenosis,0.0004743159510206177
ladc - type of stenosis,0.0
d1 - type of stenosis,-0.0
d2 - type of stenosis,0.0
lcxa - type of stenosis,0.0001331714622714693
lcxb - type of stenosis,0.0
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-3.2156068246317934e-05
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,0.0005731233827576066
lpl - type of stenosis,-0.0004343823389769123
rcaa - type of stenosis,0.0010467915218447769
rcab - type of stenosis,0.0003248962694119706
rcac - type of stenosis,0.0
rpd - type of stenosis,0.0
rpl - type of stenosis,5.1599493107038504e-05
stenosis type 1 count,-0.0
stenosis type 2 count,0.0
max cta type,0.004028424011751729
max high risk cta type,0.0
sis,-0.003634760101287709
