,0
sex,-0.0003002003717565864
age,-0.0
bmi,-0.0
smoking,0.0001337254456392602
diabetes,0.0
hypertension,-0.0
dyslipidemia,-0.0
chestpain,0.0006516741847896024
dyspnea,-0.0
lm - type of stenosis,0.0
lada - type of stenosis,0.0
ladb - type of stenosis,0.0004007939314841615
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.0
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.0
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,0.0
lpl - type of stenosis,-4.8842935784568396e-05
rcaa - type of stenosis,0.0011811297981534218
rcab - type of stenosis,0.0008063736311386304
rcac - type of stenosis,2.769011076437023e-05
rpd - type of stenosis,0.00013381171113198114
rpl - type of stenosis,0.0
stenosis type 1 count,-0.0
stenosis type 2 count,0.0
max cta type,0.002489439067652565
max high risk cta type,0.0
sis,-0.003889134256032315
