,0
lm - type of stenosis,0.0008197634751872316
lada - type of stenosis,-0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.0
d1 - type of stenosis,-8.356802989277723e-05
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.0
lcxc -type of stenosis,0.0
lpd - type of stenosis,-0.00016920373037975772
lom1 - type of stenosis,-0.0004175514266698822
lom2 - type of stenosis,-1.2136324950963273e-06
im - type of stenosis,1.9137201424322005e-05
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0
rcac - type of stenosis,-0.0
rpd - type of stenosis,-0.0
rpl - type of stenosis,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.00027931366090586346
max high risk cta type,0.0
sis,-0.0
CTA PCA1,0.0012305196622789051
