,0
lm - type of stenosis,0.0
lada - type of stenosis,-0.0
ladb - type of stenosis,3.350846343662045e-05
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.00041174518802525783
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.0
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0008015863875380115
lom2 - type of stenosis,0.0
im - type of stenosis,-0.0
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0003770610859646352
rcab - type of stenosis,0.0006681132205569871
rcac - type of stenosis,-0.0
rpd - type of stenosis,-0.0005107868774932343
rpl - type of stenosis,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.003612469283164706
max high risk cta type,0.0
sis,-0.0024373226795270306
CTA PCA1,0.0009733448095748034
