,0
lm - type of stenosis,0.0
lada - type of stenosis,-0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.0
d2 - type of stenosis,0.0
lcxa - type of stenosis,4.5394529503773875e-05
lcxb - type of stenosis,-0.0
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,0.0
lpl - type of stenosis,-0.0005753615972166701
rcaa - type of stenosis,8.044901695722093e-05
rcab - type of stenosis,0.0006289272006792446
rcac - type of stenosis,0.0
rpd - type of stenosis,-0.0
rpl - type of stenosis,-0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0031582636780740233
max high risk cta type,0.0
sis,-0.003748529802273025
CTA PCA1,0.0007594862496284717
