,0
lm - type of stenosis,0.0006539018176734982
lada - type of stenosis,0.0
ladb - type of stenosis,0.0009121000153491146
ladc - type of stenosis,-0.0
d1 - type of stenosis,-8.157384374095753e-05
d2 - type of stenosis,0.0
lcxa - type of stenosis,0.00022898105465860458
lcxb - type of stenosis,0.00036994597683748264
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0005408277782791887
lom2 - type of stenosis,-0.0
im - type of stenosis,0.0
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0014662513152802709
rcab - type of stenosis,0.0005589990505548962
rcac - type of stenosis,0.0001237303220973895
rpd - type of stenosis,0.0
rpl - type of stenosis,0.00017958651820099692
stenosis type 1 count,-0.0
stenosis type 2 count,0.0
max cta type,0.00407384174464813
max high risk cta type,0.0
sis,-0.002127325403976375
