,0
sex,0.0
age,0.0009710033125254894
bmi,-0.00017873885388148116
smoking,0.0
diabetes,-0.0
hypertension,-2.1719713772973404e-05
dyslipidemia,0.0
chestpain,0.0
dyspnea,-0.0002372307089262123
lm - type of stenosis,0.0003690242462451706
lada - type of stenosis,-0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,0.0
d1 - type of stenosis,-0.0
d2 - type of stenosis,-0.0
lcxa - type of stenosis,8.285311093242946e-06
lcxb - type of stenosis,0.0
lcxc -type of stenosis,0.00026911433661139944
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0001851897333143394
lom2 - type of stenosis,-0.0
im - type of stenosis,4.051345820849006e-05
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.00021447609927280467
rcac - type of stenosis,0.0
rpd - type of stenosis,0.0
rpl - type of stenosis,0.0
stenosis type 1 count,-0.0
stenosis type 2 count,-0.0
max cta type,0.0004966603673366638
max high risk cta type,0.0
sis,-0.0
PCA1,0.0005096430325430229
PCA2,0.00040633574318131956
