,0
sex,-0.0
age,-0.0
bmi,-0.0003810910609505974
smoking,0.00036333667055333906
diabetes,0.0
hypertension,-0.0
dyslipidemia,-0.0
chestpain,0.00040102313438186477
dyspnea,-0.0002906993308393134
lm - type of stenosis,0.0003296414262750391
lada - type of stenosis,0.0
ladb - type of stenosis,0.00032543927416536333
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.0002028701864764199
d2 - type of stenosis,0.0
lcxa - type of stenosis,-0.0
lcxb - type of stenosis,0.0
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-0.00011075872475307946
lom1 - type of stenosis,-0.00040228689039124133
lom2 - type of stenosis,-0.00020312019332187838
im - type of stenosis,-0.0
lpl - type of stenosis,-0.0004443732594107839
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0012750389508519129
rcac - type of stenosis,0.0
rpd - type of stenosis,-0.0
rpl - type of stenosis,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.003552031042466487
max high risk cta type,0.0
sis,-0.0023289687849101658
CTA PCA1,0.000876554010585057
