,0
sex,-0.00021336437837260317
age,-0.00016827261187947107
bmi,-0.0
smoking,0.0
diabetes,0.0
hypertension,-0.0
dyslipidemia,0.0
chestpain,0.0009088686303548156
dyspnea,-0.0
lm - type of stenosis,-0.0
lada - type of stenosis,-0.0
ladb - type of stenosis,4.3621324126560764e-05
ladc - type of stenosis,0.0
d1 - type of stenosis,-7.27757993008687e-05
d2 - type of stenosis,9.340792526134188e-05
lcxa - type of stenosis,-0.0
lcxb - type of stenosis,0.0
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-1.9673709229018887e-05
lom2 - type of stenosis,3.2532961983609585e-05
im - type of stenosis,0.0003969539274793914
lpl - type of stenosis,-0.0002626451876412508
rcaa - type of stenosis,0.0003218397137237015
rcab - type of stenosis,0.001032765135332945
rcac - type of stenosis,-0.0
rpd - type of stenosis,0.0
rpl - type of stenosis,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0018406910439486344
max high risk cta type,0.0
sis,-0.002778954041726786
CTA PCA1,0.0008257301420982535
