,0
lm - type of stenosis,9.136613923405512e-05
lada - type of stenosis,-0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,0.0
d1 - type of stenosis,-0.0004340638550150137
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,-0.0
lcxc -type of stenosis,-0.0006652479691052196
lpd - type of stenosis,-0.0005598129661065881
lom1 - type of stenosis,-0.0004974598512138072
lom2 - type of stenosis,-0.0
im - type of stenosis,-0.0
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0002406157661294366
rcac - type of stenosis,0.0
rpd - type of stenosis,-0.0
rpl - type of stenosis,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.002238521394359061
max high risk cta type,0.0
sis,-0.002316016633228242
CTA PCA1,0.0018109759555344402
