,0
lm - type of stenosis,0.0001575181787023435
lada - type of stenosis,-0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.00036013983176879353
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.0005915933678608629
lcxb - type of stenosis,0.0
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.00022860934970098234
lom2 - type of stenosis,0.0
im - type of stenosis,0.0
lpl - type of stenosis,-0.0
rcaa - type of stenosis,5.5623806488287664e-05
rcab - type of stenosis,0.0006663069129429708
rcac - type of stenosis,0.0
rpd - type of stenosis,-0.0
rpl - type of stenosis,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0033243260347503205
max high risk cta type,0.0
sis,-0.0035916772831917363
CTA PCA1,0.0006215163119133546
