,0
lm - type of stenosis,0.0012736612563684828
lada - type of stenosis,0.0
ladb - type of stenosis,0.0002515803240804247
ladc - type of stenosis,-0.0
d1 - type of stenosis,0.0
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.0006220047496450602
lcxb - type of stenosis,1.6959182959988421e-06
lcxc -type of stenosis,0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-2.3338642545201524e-05
im - type of stenosis,-0.0
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0001111194602934252
rcab - type of stenosis,0.0008025453566698419
rcac - type of stenosis,0.0
rpd - type of stenosis,0.0
rpl - type of stenosis,0.00016008527301056974
str_seg_1,0.0
str_seg_4,0.0
str_seg_5,0.0
str_seg_6,0.0
str_seg_7,0.0
str_seg_8,-0.0
str_seg_9,0.0
str_seg_10,0.0003301186849231968
str_seg_11,0.0
str_seg_12,0.0
str_seg_13,-0.0
str_seg_14,0.0
str_seg_15,0.0
str_seg_16,-0.0
str_seg_17,-0.0
stenosis type 1 count,-0.0
stenosis type 2 count,0.0
max cta type,0.001534781121165598
max high risk cta type,0.0
sis,-0.0
max_str_seg,0.0
max_lad_str,0.0
max_lcx_str,0.00032721283458589194
max_rca_str,0.0
non-zero pet segs,0.0
