,0
lm - type of stenosis,0.00022695547377699302
lada - type of stenosis,0.0
ladb - type of stenosis,5.994706098420208e-05
ladc - type of stenosis,-8.627706011231462e-05
d1 - type of stenosis,0.0
d2 - type of stenosis,0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,-0.0
lcxc -type of stenosis,2.8430363045894946e-05
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-0.0
im - type of stenosis,0.0
lpl - type of stenosis,0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0007666024089282372
rcac - type of stenosis,0.0
rpd - type of stenosis,0.0008119629829646492
rpl - type of stenosis,0.0
str_seg_1,-0.0
str_seg_4,0.0
str_seg_5,0.0
str_seg_6,0.0
str_seg_7,-0.0
str_seg_8,-0.0
str_seg_9,0.0
str_seg_10,0.0002943327301781146
str_seg_11,0.0
str_seg_12,-0.0
str_seg_13,-0.0
str_seg_14,0.0
str_seg_15,0.0
str_seg_16,-0.0
str_seg_17,-0.0
stenosis type 1 count,-0.0
stenosis type 2 count,0.0
max cta type,0.00038663011125618927
max high risk cta type,0.0
sis,-1.406470921391716e-05
max_str_seg,0.0
max_lad_str,0.0
max_lcx_str,3.577962198623616e-05
max_rca_str,0.0008762746578729911
non-zero pet segs,0.0
