,0
sex,-0.0
age,0.0
bmi,-0.000277911905529126
smoking,0.0
diabetes,0.0
hypertension,-0.0
dyslipidemia,-0.0
chestpain,0.0006675144500967793
dyspnea,-0.0
lm - type of stenosis,0.0
lada - type of stenosis,0.0
ladb - type of stenosis,0.00019807477748683342
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.0
d2 - type of stenosis,0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.0
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-8.068974128453862e-06
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,-7.134083294953226e-05
im - type of stenosis,-0.0
lpl - type of stenosis,-0.00024005982544494958
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.001000729504019972
rcac - type of stenosis,0.0
rpd - type of stenosis,0.00022404703586780206
rpl - type of stenosis,0.0
str_seg_1,-0.0
str_seg_4,-0.0
str_seg_5,-0.0
str_seg_6,-0.0
str_seg_7,0.0
str_seg_8,0.0
str_seg_9,0.0
str_seg_10,-0.0
str_seg_11,0.0
str_seg_12,-0.0
str_seg_13,0.0
str_seg_14,0.0011057952249473983
str_seg_15,0.0
str_seg_16,-0.0
str_seg_17,0.0
stenosis type 1 count,-0.0
stenosis type 2 count,-0.0
max cta type,0.0029691960475516912
max high risk cta type,0.0
sis,-0.0020379027739780967
max_str_seg,0.0040399590746399185
max_lad_str,0.0
max_lcx_str,0.0
max_rca_str,0.0
non-zero pet segs,0.0
