,0
lm - type of stenosis,-0.0
lada - type of stenosis,0.0
ladb - type of stenosis,0.0007537378213291108
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.0
d2 - type of stenosis,0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.0005535611203915803
lcxc -type of stenosis,-0.0
lpd - type of stenosis,0.0
lom1 - type of stenosis,-0.0
lom2 - type of stenosis,5.615702292959755e-05
im - type of stenosis,0.0
lpl - type of stenosis,0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0008954421908572077
rcac - type of stenosis,0.0
rpd - type of stenosis,0.0
rpl - type of stenosis,0.0
str_seg_1,-0.0
str_seg_4,-0.0
str_seg_5,-0.0
str_seg_6,-0.0
str_seg_7,0.0
str_seg_8,0.002784676646313474
str_seg_9,0.0
str_seg_10,-0.0
str_seg_11,-0.0
str_seg_12,-0.0
str_seg_13,0.0
str_seg_14,0.0
str_seg_15,0.0
str_seg_16,-0.0
str_seg_17,0.0
stenosis type 1 count,-0.0
stenosis type 2 count,-0.0
max cta type,0.0019160796167961083
max high risk cta type,0.0
sis,-0.0015578038145855448
max_str_seg,0.002182279822085174
max_lad_str,0.0
max_lcx_str,-0.0
max_rca_str,0.0022113122856340563
non-zero pet segs,-0.0
