,0
lm - type of stenosis,0.0008963529316939609
lada - type of stenosis,0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,0.0
d1 - type of stenosis,-9.790805332485932e-05
d2 - type of stenosis,-4.939235215480005e-05
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.0
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0002911718529236843
lom2 - type of stenosis,-9.160591207818372e-06
im - type of stenosis,0.0
lpl - type of stenosis,-0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.00043692484168042267
rcac - type of stenosis,0.0
rpd - type of stenosis,-0.0
rpl - type of stenosis,-0.0
str_seg_1,-0.0
str_seg_4,0.0
str_seg_5,-0.0
str_seg_6,-0.0
str_seg_7,-0.0
str_seg_8,-0.0
str_seg_9,0.0
str_seg_10,0.0
str_seg_11,-0.0
str_seg_12,0.0
str_seg_13,-0.0
str_seg_14,-0.0
str_seg_15,0.0
str_seg_16,-0.0
str_seg_17,-0.0
stenosis type 1 count,-0.0
stenosis type 2 count,7.741790152886191e-07
max cta type,0.0009344234179721768
max high risk cta type,0.0
sis,0.0
max_str_seg,-0.0
max_lad_str,-0.0
max_lcx_str,-0.0
max_rca_str,-0.0
non-zero pet segs,-0.0
PCA1,0.0005967738810700514
PCA2,1.7811000748192814e-05
