,0
sex,-0.0
age,0.0009620717031635289
bmi,-0.0
smoking,0.00015654524972579973
diabetes,0.0
hypertension,-0.00032037274517390454
dyslipidemia,-0.0
chestpain,0.0
dyspnea,-0.0002449427895011301
lm - type of stenosis,0.0007694231683779888
lada - type of stenosis,-0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.0
d1 - type of stenosis,-3.57543199359676e-05
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.0001851847245583293
lcxb - type of stenosis,0.00021473946257490403
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0004002562953798374
lom2 - type of stenosis,-0.0
im - type of stenosis,-0.0
lpl - type of stenosis,-0.00020263487612627584
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.00015644176993443603
rcac - type of stenosis,4.7576593324080195e-05
rpd - type of stenosis,0.0
rpl - type of stenosis,1.1261552587777537e-05
str_seg_1,0.0
str_seg_4,0.0
str_seg_5,-0.0
str_seg_6,-0.0
str_seg_7,-0.0
str_seg_8,-0.0
str_seg_9,0.0
str_seg_10,0.0
str_seg_11,-0.0
str_seg_12,-0.0
str_seg_13,-0.0
str_seg_14,-0.0
str_seg_15,0.0
str_seg_16,-0.0
str_seg_17,-0.0
stenosis type 1 count,-0.0
stenosis type 2 count,0.0
max cta type,0.0007425702807764958
max high risk cta type,0.0
sis,-0.0
max_str_seg,-0.0
max_lad_str,-0.0
max_lcx_str,0.0
max_rca_str,0.0
non-zero pet segs,-0.0
PCA1,0.0006662909901172388
PCA2,4.1990862396318606e-05
