,0
sex,-0.0
age,0.0001611228584153302
bmi,-7.144497780911556e-06
smoking,0.0004988565295732623
diabetes,0.0
hypertension,-0.000405503747915681
dyslipidemia,-0.0
chestpain,0.0005526533922142542
dyspnea,-0.0005464964361126393
lm - type of stenosis,0.0
lada - type of stenosis,-0.0
ladb - type of stenosis,0.0
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.00045503501953813647
d2 - type of stenosis,0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,-0.0
lcxc -type of stenosis,-0.0005261153277782208
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0004656918571325589
lom2 - type of stenosis,-0.0
im - type of stenosis,-0.0
lpl - type of stenosis,-0.00029821877257876436
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.0
rcac - type of stenosis,-0.0
rpd - type of stenosis,0.0
rpl - type of stenosis,0.00012260174717192905
str_seg_1,-0.0
str_seg_4,-0.0
str_seg_5,-0.0
str_seg_6,-0.0
str_seg_7,0.0
str_seg_8,0.00018009360835579365
str_seg_9,0.0
str_seg_10,-0.0
str_seg_11,-0.0
str_seg_12,-0.0
str_seg_13,0.0
str_seg_14,0.0
str_seg_15,0.0
str_seg_16,-0.0
str_seg_17,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0003462051216139171
max cta type,0.0020853786387979986
max high risk cta type,0.0
sis,-0.0
max_str_seg,0.00025152056562563566
max_lad_str,0.0006244630211003802
max_lcx_str,-0.0
max_rca_str,0.0
non-zero pet segs,0.0
PCA1,0.0020965389830042897
PCA2,-0.0
