,0
lm - type of stenosis,7.311342091512939e-05
lada - type of stenosis,0.0
ladb - type of stenosis,0.0002439418803246112
ladc - type of stenosis,-0.0
d1 - type of stenosis,-0.00028139808137109295
d2 - type of stenosis,-0.0
lcxa - type of stenosis,0.0
lcxb - type of stenosis,0.0
lcxc -type of stenosis,-0.0
lpd - type of stenosis,-0.0
lom1 - type of stenosis,-0.0005197721275610278
lom2 - type of stenosis,-0.0002548945593806289
im - type of stenosis,-0.0
lpl - type of stenosis,0.0
rcaa - type of stenosis,0.0
rcab - type of stenosis,0.00045876489464512476
rcac - type of stenosis,0.0
rpd - type of stenosis,-0.0
rpl - type of stenosis,0.0
str_seg_1,-0.0
str_seg_4,-0.0
str_seg_5,-2.826018153144446e-05
str_seg_6,-0.00013243050769619162
str_seg_7,-0.0
str_seg_8,0.0
str_seg_9,0.0
str_seg_10,-0.0
str_seg_11,-0.0
str_seg_12,-0.0
str_seg_13,0.0
str_seg_14,0.0
str_seg_15,0.0
str_seg_16,-0.0
str_seg_17,0.0
stenosis type 1 count,0.0
stenosis type 2 count,-0.0
max cta type,0.0020971194613214244
max high risk cta type,0.0
sis,-0.0004885080787444941
max_str_seg,0.0003711252095757439
max_lad_str,0.0012409856313556158
max_lcx_str,-0.0
max_rca_str,0.0010137787442625586
non-zero pet segs,-0.0
PCA1,0.0014863075068284614
PCA2,0.0
