,0
sex,-0.00043219954469061756
age,0.0015763737354759996
bmi,-0.0
smoking,0.0005372839653844159
diabetes,0.00011443746117189306
hypertension,-0.0008914802244148151
dyslipidemia,-0.0
chestpain,0.0
dyspnea,-0.0006731135703575235
str_seg_1,0.0
str_seg_4,0.0
str_seg_5,0.0
str_seg_6,0.0
str_seg_7,-0.0
str_seg_8,-0.0
str_seg_9,0.0
str_seg_10,0.0
str_seg_11,0.0
str_seg_12,0.0
str_seg_13,-0.0
str_seg_14,-0.0
str_seg_15,0.0
str_seg_16,0.0
str_seg_17,-0.0
max_str_seg,0.0
max_lad_str,0.0
max_lcx_str,0.0006875997482654755
max_rca_str,0.0014342729341278487
non-zero pet segs,0.0
