,0
sex,-7.676262521348276e-07
age,0.0016088171561900243
bmi,-0.0
smoking,0.0004731675647980155
diabetes,0.0
hypertension,-0.0003903060292477072
dyslipidemia,-0.0
chestpain,0.0
dyspnea,-0.0004855750039476136
str_seg_1,0.0
str_seg_4,0.0
str_seg_5,-0.0
str_seg_6,0.0
str_seg_7,-0.0
str_seg_8,-0.0
str_seg_9,0.0
str_seg_10,0.0
str_seg_11,0.0
str_seg_12,0.0
str_seg_13,-0.0
str_seg_14,-0.0
str_seg_15,0.0
str_seg_16,-0.0
str_seg_17,-0.0
max_str_seg,0.0
max_lad_str,0.0
max_lcx_str,0.000505625311924913
max_rca_str,0.0010122233754087545
non-zero pet segs,0.0
