,0
sex,-0.0008313277225537629
age,0.0019200294248793953
bmi,-0.0
smoking,0.0007757102629961834
diabetes,0.00030668942232014377
hypertension,-0.0008340559401739573
dyslipidemia,-3.5580774680680297e-05
chestpain,0.00043574402622559077
dyspnea,-0.0
str_seg_1,-0.0017746146921621935
str_seg_4,-0.0
str_seg_5,-0.0
str_seg_6,-0.0
str_seg_7,-0.0
str_seg_8,0.0
str_seg_9,-0.0
str_seg_10,-0.0
str_seg_11,-0.0
str_seg_12,-0.0
str_seg_13,-0.0
str_seg_14,0.0
str_seg_15,-0.0
str_seg_16,-0.0
str_seg_17,-0.0
max_str_seg,0.004274689577226585
max_lad_str,0.0030475577168132062
max_lcx_str,0.0
max_rca_str,0.0010407486553190065
non-zero pet segs,0.0
