,0
sex,-0.0008337845435794969
age,0.0006083797654132547
bmi,-4.0428397185514045e-05
smoking,7.10039447935111e-05
diabetes,0.0006012077396368847
hypertension,-0.0
dyslipidemia,-0.0001140897476992337
chestpain,0.0009553826536407445
dyspnea,-0.0
str_seg_1,-0.0006211851410646069
str_seg_4,-0.0
str_seg_5,-0.0
str_seg_6,-0.0
str_seg_7,0.0
str_seg_8,0.0
str_seg_9,0.0
str_seg_10,-0.0
str_seg_11,-0.0
str_seg_12,-0.0
str_seg_13,0.0
str_seg_14,0.0
str_seg_15,-0.0
str_seg_16,-0.0
str_seg_17,0.0
max_str_seg,0.007265867650641186
max_lad_str,0.0
max_lcx_str,0.0
max_rca_str,2.6486271982948543e-05
non-zero pet segs,0.0
