,0
sex,-0.0
age,0.0012829280757309706
bmi,-0.0
smoking,0.00026526957870250535
diabetes,0.0
hypertension,-0.0005659519917781926
dyslipidemia,0.0
chestpain,-0.0
dyspnea,-0.000150018516675254
str_seg_1,-0.0
str_seg_4,0.0
str_seg_5,-0.0
str_seg_6,-0.0
str_seg_7,-0.0
str_seg_8,-0.0
str_seg_9,0.0
str_seg_10,0.0
str_seg_11,-0.0
str_seg_12,-0.0
str_seg_13,-0.0
str_seg_14,-0.0
str_seg_15,0.0
str_seg_16,-0.0
str_seg_17,-0.0
max_str_seg,-0.0
max_lad_str,-0.0
max_lcx_str,-0.0
max_rca_str,-0.0
non-zero pet segs,-0.0
PCA1,0.0007139260689916949
PCA2,0.0006190932371352672
