,0
sex,0.0
age,0.00038748790755408126
bmi,-0.0005799239587278861
smoking,0.0
diabetes,0.0
hypertension,-0.0006401480981987359
dyslipidemia,-0.0
chestpain,0.0008413319629044754
dyspnea,-2.3163972377930848e-05
str_seg_1,-0.0005007133565355835
str_seg_4,-0.0
str_seg_5,-0.0
str_seg_6,-0.0008432813138533899
str_seg_7,-0.0
str_seg_8,0.0
str_seg_9,0.0
str_seg_10,-0.0
str_seg_11,-0.0
str_seg_12,-0.0
str_seg_13,0.0
str_seg_14,0.0
str_seg_15,-0.0
str_seg_16,-0.0
str_seg_17,-0.0
max_str_seg,0.0013506209930346691
max_lad_str,0.0001728886439781398
max_lcx_str,-0.0
max_rca_str,0.0
non-zero pet segs,-0.0
PCA1,0.0023219165765229846
PCA2,-0.0
