,0
sex,-1.929130487964493e-05
age,-0.00013722055430470586
bmi,-0.0005399760904438016
smoking,0.0
diabetes,0.0
hypertension,0.0
dyslipidemia,-0.0
chestpain,0.00044679415092079055
dyspnea,-0.0
str_seg_1,-0.0012030297378012203
str_seg_4,-0.0
str_seg_5,-0.0
str_seg_6,-0.0
str_seg_7,0.0
str_seg_8,0.001913976836579457
str_seg_9,0.0
str_seg_10,-0.0
str_seg_11,-0.0
str_seg_12,-0.0
str_seg_13,0.0
str_seg_14,0.0
str_seg_15,-0.0
str_seg_16,-0.0
str_seg_17,0.0
max_str_seg,0.0020509505115744566
max_lad_str,0.0
max_lcx_str,-0.0
max_rca_str,0.0
non-zero pet segs,-0.0
PCA1,0.001735148943872894
PCA2,-2.8509087163847738e-05
