,0
lm - type of stenosis,0.0013224646457809005
lada - type of stenosis,-0.0006322331548187946
ladb - type of stenosis,0.0003465953121532389
ladc - type of stenosis,-0.00042464965039158985
d1 - type of stenosis,-0.00015764473300265773
d2 - type of stenosis,2.519995581487457e-05
lcxa - type of stenosis,0.0008012254564908023
lcxb - type of stenosis,0.00037109955832536576
lcxc -type of stenosis,0.0004890929484148959
lpd - type of stenosis,-0.0003203252813926087
lom1 - type of stenosis,-0.0005093640658135427
lom2 - type of stenosis,-0.0005245147586853812
im - type of stenosis,0.00022356677058520575
lpl - type of stenosis,-6.811634081128688e-06
rcaa - type of stenosis,5.026392247040913e-05
rcab - type of stenosis,0.00029682988553438185
rcac - type of stenosis,0.00021093008098626805
rpd - type of stenosis,0.00010130682522225878
rpl - type of stenosis,0.0005243962661155379
stenosis type 1 count,-0.0002974311581373677
stenosis type 2 count,0.0003261816112548749
max cta type,0.0018781615102883985
max high risk cta type,0.00034463587118018695
sis,-0.00010199670283921097
