,0
lm - type of stenosis,0.0002979262135798893
lada - type of stenosis,0.0002368162016709563
ladb - type of stenosis,0.0004081997085872748
ladc - type of stenosis,-0.0006526510148087899
d1 - type of stenosis,-0.00032073102802007106
d2 - type of stenosis,-0.0002316250365228718
lcxa - type of stenosis,0.00016088732597221582
lcxb - type of stenosis,-0.000679147456762934
lcxc -type of stenosis,0.00038543505646524724
lpd - type of stenosis,-9.840911541030393e-05
lom1 - type of stenosis,-0.000361008256200884
lom2 - type of stenosis,6.201220620280249e-05
im - type of stenosis,0.0003963224461444064
lpl - type of stenosis,0.00010016310979030576
rcaa - type of stenosis,0.00044934065583038355
rcab - type of stenosis,0.0012477368389388283
rcac - type of stenosis,-4.557655099255142e-05
rpd - type of stenosis,0.0005740376499663443
rpl - type of stenosis,0.0001785210285348344
stenosis type 1 count,-6.048024540266059e-05
stenosis type 2 count,-0.0003029925146374228
max cta type,0.0015486995014473697
max high risk cta type,-0.0010504137361708847
sis,-0.0006113326424675151
