,0
sex,-0.0005645436845948728
age,0.0018526031107570957
bmi,-0.00019680806230986083
smoking,0.0006621396256043116
diabetes,7.453483532694622e-05
hypertension,-0.0008339187026206717
dyslipidemia,-0.00016507094250789518
chestpain,4.268073011871466e-05
dyspnea,-0.0008932332155852712
lm - type of stenosis,0.0013473990201344215
lada - type of stenosis,-0.0006425547086678898
ladb - type of stenosis,0.0006508309780475268
ladc - type of stenosis,-0.00046534168221669885
d1 - type of stenosis,-0.0007430755659214353
d2 - type of stenosis,-0.00012714587289661198
lcxa - type of stenosis,0.0010295655610030215
lcxb - type of stenosis,0.0004856387322261173
lcxc -type of stenosis,0.00042783478406414703
lpd - type of stenosis,-0.00040703063262581264
lom1 - type of stenosis,-0.0007074213024240071
lom2 - type of stenosis,-0.00043563564210927436
im - type of stenosis,-0.00019093608291619334
lpl - type of stenosis,-3.458716663170437e-05
rcaa - type of stenosis,-0.00014496452360362896
rcab - type of stenosis,0.0007244677934756366
rcac - type of stenosis,-0.0002402483624997764
rpd - type of stenosis,-0.00017002513994951397
rpl - type of stenosis,0.0015225384448167383
stenosis type 1 count,-7.955174649312735e-06
stenosis type 2 count,-0.0003847605640856087
max cta type,0.0021853732707631775
max high risk cta type,-0.0005960203115693962
sis,-0.0006319648965506712
