,0
sex,-0.0001262678161148626
age,0.000534853498806099
bmi,-0.00039206602605337175
smoking,-6.997877509466589e-05
diabetes,0.0003263846204780129
hypertension,8.564226390094017e-05
dyslipidemia,6.198209954151661e-05
chestpain,7.582833476916964e-05
dyspnea,-0.000692659884493027
lm - type of stenosis,0.00016422552168923743
lada - type of stenosis,-0.00045531243235984436
ladb - type of stenosis,0.0005444570689136452
ladc - type of stenosis,-0.0009059637863892264
d1 - type of stenosis,-0.00012579538598944177
d2 - type of stenosis,-0.0003820727131117791
lcxa - type of stenosis,0.00011869915903835637
lcxb - type of stenosis,-0.0003052470344845854
lcxc -type of stenosis,0.001087716127716059
lpd - type of stenosis,-0.00022668940928180986
lom1 - type of stenosis,-0.00037640445143083325
lom2 - type of stenosis,-0.0003201095797540352
im - type of stenosis,-0.00013839223195104503
lpl - type of stenosis,-4.097391614656282e-05
rcaa - type of stenosis,0.0005949886281016363
rcab - type of stenosis,0.000985975179078087
rcac - type of stenosis,7.855401728324187e-06
rpd - type of stenosis,0.0005326536223484253
rpl - type of stenosis,8.010519330697997e-05
stenosis type 1 count,0.00010594415574062378
stenosis type 2 count,-0.0005477623264243508
max cta type,0.0013429765696243703
max high risk cta type,4.901901303781615e-05
sis,-0.0006538213480395945
