,0
sex,-0.00020624716999919634
age,0.0013229227105152088
bmi,-0.0007248237168179836
smoking,0.0005569539069656925
diabetes,0.0002041192896977868
hypertension,-0.0008921940577030982
dyslipidemia,0.00016352124093207764
chestpain,3.837616447400257e-05
dyspnea,-0.0009395072208254025
lm - type of stenosis,0.0009088950717688444
lada - type of stenosis,-0.00019039329381417654
ladb - type of stenosis,0.0004955166882133399
ladc - type of stenosis,-0.0008683084086399638
d1 - type of stenosis,-0.0013783572885914196
d2 - type of stenosis,-0.00023236539351612773
lcxa - type of stenosis,0.0008412746137646101
lcxb - type of stenosis,-0.00029028601068316773
lcxc -type of stenosis,-9.811298926558878e-05
lpd - type of stenosis,-0.000376794203277826
lom1 - type of stenosis,-0.0007740065602207006
lom2 - type of stenosis,-0.00010812051071627331
im - type of stenosis,5.442401345642012e-05
lpl - type of stenosis,-0.00016095981683738206
rcaa - type of stenosis,0.0005457401517343439
rcab - type of stenosis,0.0013067717767731705
rcac - type of stenosis,-0.0003370301174717625
rpd - type of stenosis,-0.00014809758288662149
rpl - type of stenosis,0.00017449882380297536
stenosis type 1 count,8.531216083561589e-05
stenosis type 2 count,-0.00036496367530639354
max cta type,0.0020500904087533993
max high risk cta type,-0.0012468627037661956
sis,-0.0004047587363903442
CTA PCA1,0.0006454703663414335
