,0
sex,-0.00014094880747357035
age,0.0007074512294730447
bmi,-0.000618673975635342
smoking,0.00017264660225282965
diabetes,3.6174373907953e-05
hypertension,4.5931024115277664e-05
dyslipidemia,0.0003711291680163143
chestpain,2.231985399669553e-05
dyspnea,-0.0004737979196927365
lm - type of stenosis,0.0003481032848587749
lada - type of stenosis,-0.0004401741618982089
ladb - type of stenosis,0.0006605214279763195
ladc - type of stenosis,-0.000700667238907894
d1 - type of stenosis,-4.101747027514354e-05
d2 - type of stenosis,-0.0006298303930334563
lcxa - type of stenosis,-0.0003611930854431918
lcxb - type of stenosis,-0.00038526179895926276
lcxc -type of stenosis,0.0005527279351360502
lpd - type of stenosis,-5.905730280137283e-05
lom1 - type of stenosis,-0.0006871653741308966
lom2 - type of stenosis,-0.0002857558136642709
im - type of stenosis,6.03222561259184e-05
lpl - type of stenosis,5.983555557203799e-05
rcaa - type of stenosis,5.869811253396268e-05
rcab - type of stenosis,0.0014586320710725338
rcac - type of stenosis,-0.0003693078723680364
rpd - type of stenosis,0.0007960552871726352
rpl - type of stenosis,-0.00039099539382921305
stenosis type 1 count,4.3845985861514946e-05
stenosis type 2 count,-0.00017916630622141224
max cta type,0.0010333659696327823
max high risk cta type,-0.0001348969879088376
sis,-0.00019458256632321668
CTA PCA1,0.0003641136575353606
