,0
sex,-0.0006459453754924437
age,0.0001647987231300858
bmi,-0.0009112322298760574
smoking,0.00031215122833630623
diabetes,0.0004943191026826976
hypertension,-0.0007806438527799243
dyslipidemia,0.00010997923801320466
chestpain,0.0014189557242619752
dyspnea,-0.0011599420803024244
lm - type of stenosis,0.0010631849674417717
lada - type of stenosis,-7.434193968994514e-05
ladb - type of stenosis,0.0007758458763170387
ladc - type of stenosis,-0.00033500283879623276
d1 - type of stenosis,-0.0007833084459551257
d2 - type of stenosis,0.000924747508230362
lcxa - type of stenosis,0.0005038884251774156
lcxb - type of stenosis,0.0006551878766321135
lcxc -type of stenosis,-0.00116086920143221
lpd - type of stenosis,-0.0004349394467405304
lom1 - type of stenosis,-0.0002564758146612746
lom2 - type of stenosis,-0.00022701291115874433
im - type of stenosis,-5.4813398942630015e-05
lpl - type of stenosis,-3.988904848203097e-05
rcaa - type of stenosis,0.0008296893807184916
rcab - type of stenosis,0.0012366736687921488
rcac - type of stenosis,-0.0005685332833576137
rpd - type of stenosis,-0.0003540073501368154
rpl - type of stenosis,0.0006494777426812412
stenosis type 1 count,0.0004725868592902743
stenosis type 2 count,-0.001956786407411358
max cta type,0.0029725860973906803
max high risk cta type,-0.0005148739141843493
sis,-0.002138328808147175
CTA PCA1,0.0014549598452768425
