,0
sex,-0.001157335415607801
age,0.00036379479458195565
bmi,-0.0009267924776042491
smoking,0.0006881490037315611
diabetes,-8.555713965392304e-06
hypertension,-0.00018787657534706875
dyslipidemia,-4.037180711740839e-06
chestpain,0.0011012451634652407
dyspnea,-0.0008631726466355412
lm - type of stenosis,0.0006325684844336345
lada - type of stenosis,-0.00010350902073332519
ladb - type of stenosis,0.000615758835764448
ladc - type of stenosis,-0.0003369417444501964
d1 - type of stenosis,-0.0003098573993666822
d2 - type of stenosis,0.0006721628683804809
lcxa - type of stenosis,0.0011058022045519267
lcxb - type of stenosis,6.155599446252821e-05
lcxc -type of stenosis,-0.0010683289806598859
lpd - type of stenosis,-0.0003294464555556437
lom1 - type of stenosis,-0.0012981674943484255
lom2 - type of stenosis,0.0003686286663195764
im - type of stenosis,0.00022819595327372511
lpl - type of stenosis,-0.0003581347772641535
rcaa - type of stenosis,0.0003475245136444928
rcab - type of stenosis,0.0008752425062924132
rcac - type of stenosis,0.0003578367837700451
rpd - type of stenosis,-0.0004941480524943561
rpl - type of stenosis,0.0005200108749250233
stenosis type 1 count,0.0004619897094654839
stenosis type 2 count,-0.0017252078563404598
max cta type,0.004296216078060093
max high risk cta type,-0.0015495173953226043
sis,-0.0017902208670716284
CTA PCA1,0.0013479579090332828
