,0
sex,-0.00041888770044365366
age,0.000905851938727389
bmi,-0.0008282209883443071
smoking,0.0009908429399763945
diabetes,-0.00014064394686821546
hypertension,-0.0007865793443091216
dyslipidemia,-4.1663573005249305e-05
chestpain,0.0015305423435470612
dyspnea,-0.0005843033037892876
lm - type of stenosis,0.00037514891772876273
lada - type of stenosis,0.00014234007601223413
ladb - type of stenosis,0.0012538588642512197
ladc - type of stenosis,-7.147063431451009e-05
d1 - type of stenosis,-0.0006429719064169503
d2 - type of stenosis,0.000452634379773559
lcxa - type of stenosis,0.0008661071663930316
lcxb - type of stenosis,0.00038963404392453537
lcxc -type of stenosis,-0.0004141857433377077
lpd - type of stenosis,-0.0005137131744962189
lom1 - type of stenosis,-0.00018169644631838472
lom2 - type of stenosis,8.993386246829819e-05
im - type of stenosis,0.0011262354129222452
lpl - type of stenosis,-0.0007016363063848466
rcaa - type of stenosis,0.001556470180213846
rcab - type of stenosis,0.0007748330001594513
rcac - type of stenosis,0.0005619168754747597
rpd - type of stenosis,-0.00020461473130652883
rpl - type of stenosis,0.0008245108523636009
stenosis type 1 count,0.00011384957361424339
stenosis type 2 count,-0.0016697692773003786
max cta type,0.004293784148857795
max high risk cta type,-0.00035771382266173714
sis,-0.002431491950839823
