,0
sex,-0.0007753865041054123
age,-0.00023954214243456285
bmi,-0.0009220867369308468
smoking,0.0004975659120100477
diabetes,0.0002631667001562514
hypertension,-0.00030825764237024704
dyslipidemia,-0.00021586979386912608
chestpain,0.001088202219524949
dyspnea,-0.0003420954048184219
lm - type of stenosis,0.0003274150777065175
lada - type of stenosis,0.00047055703288984734
ladb - type of stenosis,0.0012937644920957704
ladc - type of stenosis,-0.00016259648499012907
d1 - type of stenosis,-0.0005006036381672979
d2 - type of stenosis,3.781236872360093e-05
lcxa - type of stenosis,0.00011690592861146715
lcxb - type of stenosis,0.0007656560697972634
lcxc -type of stenosis,-0.00044588661979004204
lpd - type of stenosis,8.967273627546645e-06
lom1 - type of stenosis,-0.0004492885624047285
lom2 - type of stenosis,-5.307221363617691e-05
im - type of stenosis,0.00032649525466169353
lpl - type of stenosis,-0.00029192636717667787
rcaa - type of stenosis,0.0018054387969638746
rcab - type of stenosis,0.001452079133198337
rcac - type of stenosis,0.0005364708781273977
rpd - type of stenosis,0.0005783839106412043
rpl - type of stenosis,0.0003396292617184577
stenosis type 1 count,5.2525045596407403e-05
stenosis type 2 count,-0.0016315002335176823
max cta type,0.0023042460458987334
max high risk cta type,0.00029036605755459045
sis,-0.002498869975048411
