,0
lm - type of stenosis,-0.0001810685622461858
lada - type of stenosis,-0.0004611172187190996
ladb - type of stenosis,-0.0003557557980088404
ladc - type of stenosis,-0.0011556719714505787
d1 - type of stenosis,-0.0009781031700104635
d2 - type of stenosis,-0.0006306574350875921
lcxa - type of stenosis,-0.0007294988290460744
lcxb - type of stenosis,-0.0012868255765567517
lcxc -type of stenosis,-4.7626008682591e-05
lpd - type of stenosis,-0.0003222728026231948
lom1 - type of stenosis,-0.0006147105242627852
lom2 - type of stenosis,-0.0002564537931961337
im - type of stenosis,-0.0003390417600451182
lpl - type of stenosis,-0.0006806246430684168
rcaa - type of stenosis,-0.00044962454472258754
rcab - type of stenosis,-0.0003475242009861248
rcac - type of stenosis,-0.0008753695770795103
rpd - type of stenosis,0.0003410350423812386
rpl - type of stenosis,-0.000976113317686466
stenosis type 1 count,0.0011905182929048033
stenosis type 2 count,-0.0013334975834759792
max cta type,-0.0007131064090411322
max high risk cta type,-0.0018646428619953667
sis,0.0003636417736644944
CTA PCA1,0.0038539402363386615
