,0
lm - type of stenosis,-0.00026607487773531936
lada - type of stenosis,-0.0019618696797925115
ladb - type of stenosis,-0.0002917642410520757
ladc - type of stenosis,-0.001528875122822476
d1 - type of stenosis,-0.0018556102998439402
d2 - type of stenosis,-0.0007581550435130168
lcxa - type of stenosis,-0.0012789725438394888
lcxb - type of stenosis,-0.0004346881676735438
lcxc -type of stenosis,-0.001147367133314646
lpd - type of stenosis,-0.00045666114549180016
lom1 - type of stenosis,-0.002003870167079068
lom2 - type of stenosis,-2.4577910056976377e-05
im - type of stenosis,-0.0006143624382715718
lpl - type of stenosis,-0.0005301653358252184
rcaa - type of stenosis,1.1929565695040902e-05
rcab - type of stenosis,0.00023374660974039523
rcac - type of stenosis,-0.0011480773438298571
rpd - type of stenosis,-0.0021560188412767687
rpl - type of stenosis,0.0003497797273115257
stenosis type 1 count,0.0023089101026220332
stenosis type 2 count,-0.003268326513412952
max cta type,0.0033169628911269206
max high risk cta type,-0.0018450636001922447
sis,-0.00038555243821416737
CTA PCA1,0.006382169400337938
