,0
lm - type of stenosis,-0.00038210149411360814
lada - type of stenosis,0.00040011968196993115
ladb - type of stenosis,0.000700654638874678
ladc - type of stenosis,0.00024796642456565056
d1 - type of stenosis,-0.0006128691567871189
d2 - type of stenosis,0.00016250258664327494
lcxa - type of stenosis,-9.96536200392254e-05
lcxb - type of stenosis,0.00047824607529722797
lcxc -type of stenosis,-7.46046675872485e-05
lpd - type of stenosis,-4.546804123982485e-05
lom1 - type of stenosis,-0.0009157123235739005
lom2 - type of stenosis,0.0008893009505386764
im - type of stenosis,7.415755758255761e-05
lpl - type of stenosis,-0.00024084367349965448
rcaa - type of stenosis,0.0005506546881696597
rcab - type of stenosis,0.0022406419656585902
rcac - type of stenosis,-0.00018703851387456204
rpd - type of stenosis,-0.00013189595075985042
rpl - type of stenosis,0.00027691487415497986
stenosis type 1 count,0.0005254754841083576
stenosis type 2 count,-0.0021637017536300846
max cta type,0.0035007584778384893
max high risk cta type,-0.0008716208327913319
sis,-0.0023583267825188128
CTA PCA1,0.0008851898866314541
