,0
lm - type of stenosis,0.0011040419156585926
lada - type of stenosis,0.0005927257059998653
ladb - type of stenosis,0.0014217075971208737
ladc - type of stenosis,-0.00046234652152358667
d1 - type of stenosis,-0.0009834719125355524
d2 - type of stenosis,0.0005494234820546358
lcxa - type of stenosis,0.0007036238877854657
lcxb - type of stenosis,0.0011027427571869326
lcxc -type of stenosis,-0.0007858799385301868
lpd - type of stenosis,-1.1397302411159423e-06
lom1 - type of stenosis,-0.0011061584345793607
lom2 - type of stenosis,-0.0002747710552786042
im - type of stenosis,0.00010133591433345306
lpl - type of stenosis,-0.00010195981718703193
rcaa - type of stenosis,0.002032472085589441
rcab - type of stenosis,0.0007169303481215612
rcac - type of stenosis,0.0004091031519518716
rpd - type of stenosis,-0.0003688250297751241
rpl - type of stenosis,0.0007216775091087084
stenosis type 1 count,-0.0002512031374658123
stenosis type 2 count,-0.0007658743439855841
max cta type,0.00478773543587217
max high risk cta type,-0.0011773046944859138
sis,-0.001751422726884181
