,0
lm - type of stenosis,0.0005279180082842001
lada - type of stenosis,0.0009272325070262138
ladb - type of stenosis,0.0006307786780419842
ladc - type of stenosis,-4.1696081171263716e-05
d1 - type of stenosis,-0.0002691631970907442
d2 - type of stenosis,0.0005482631977470679
lcxa - type of stenosis,0.0007469156064293745
lcxb - type of stenosis,0.0013691705013721754
lcxc -type of stenosis,-0.0009313496923692866
lpd - type of stenosis,-8.436797581515534e-05
lom1 - type of stenosis,-0.0005585420363485727
lom2 - type of stenosis,0.0004887678544523517
im - type of stenosis,0.000243763259881232
lpl - type of stenosis,3.782437719418744e-05
rcaa - type of stenosis,0.0012485751781553065
rcab - type of stenosis,0.001132068749935421
rcac - type of stenosis,-0.00023954422160368918
rpd - type of stenosis,-0.0002596277259616415
rpl - type of stenosis,0.0008901645066787001
stenosis type 1 count,0.0001084915722778467
stenosis type 2 count,-0.001691233585100805
max cta type,0.0035460316268104324
max high risk cta type,-0.000925117332855927
sis,-0.0024770501775893345
