,0
lm - type of stenosis,-0.00017398775018549295
lada - type of stenosis,-0.0003860118889234466
ladb - type of stenosis,0.00024221396185379975
ladc - type of stenosis,-0.0006237786777775176
d1 - type of stenosis,0.0002456736351884994
d2 - type of stenosis,-8.295376982681748e-05
lcxa - type of stenosis,-0.00011365226371632512
lcxb - type of stenosis,-0.0004117487263065688
lcxc -type of stenosis,0.0005840605636346973
lpd - type of stenosis,-0.000127588718651768
lom1 - type of stenosis,-0.0002489852278515788
lom2 - type of stenosis,-0.00012286106764156963
im - type of stenosis,0.00014055085813073452
lpl - type of stenosis,1.087495342887025e-06
rcaa - type of stenosis,0.0004584860563669105
rcab - type of stenosis,0.00044046510143277214
rcac - type of stenosis,-0.00018311821032817303
rpd - type of stenosis,0.0003506656145762462
rpl - type of stenosis,-0.0007084724224720046
stenosis type 1 count,0.0002004425157371756
stenosis type 2 count,-0.00047935911940118436
max cta type,0.00033649355829377004
max high risk cta type,-0.00023536569813976976
sis,-0.00034630589649700796
CTA PCA1,0.0005102489172172
