,0
sex,-0.0005086457552953368
age,0.0016793313183835607
bmi,-0.0012298658580470918
smoking,0.0005599178473087777
diabetes,0.00019228647524227653
hypertension,-0.0008229291107385049
dyslipidemia,-0.00010454367723514415
chestpain,0.000442256628003989
dyspnea,-0.0007941239734970582
lm - type of stenosis,0.0011846983035642103
lada - type of stenosis,-0.0005053448640827406
ladb - type of stenosis,0.00041692627343154685
ladc - type of stenosis,-0.0005374555267624195
d1 - type of stenosis,-0.000745386594060665
d2 - type of stenosis,0.00017981293681896383
lcxa - type of stenosis,0.0011757204397632635
lcxb - type of stenosis,0.00011033281075533673
lcxc -type of stenosis,-0.0007613814050416688
lpd - type of stenosis,-0.0004492152032631952
lom1 - type of stenosis,-0.0012196973444206331
lom2 - type of stenosis,-0.0007639748941000258
im - type of stenosis,-0.00010102728337790425
lpl - type of stenosis,0.00040367149333892145
rcaa - type of stenosis,-0.00023674909913672565
rcab - type of stenosis,0.00033763302257843126
rcac - type of stenosis,0.0004007683445549794
rpd - type of stenosis,-0.00041127582732969597
rpl - type of stenosis,0.0009726827375415728
stenosis type 1 count,7.160025954716184e-05
stenosis type 2 count,-0.0002473620519256768
max cta type,0.0024797209827904865
max high risk cta type,-0.0008789048044862699
sis,-0.0002454462998037294
PCA1,-5.0335924814060603e-05
PCA2,0.0014087888927142183
