,0
sex,-0.00014315045072181614
age,0.000794739944597823
bmi,-0.000545668525563281
smoking,-2.2666019947015827e-05
diabetes,0.00039254246537412455
hypertension,2.3493889749307292e-05
dyslipidemia,0.0001314910664709496
chestpain,-0.0001762824777139
dyspnea,-0.0005758900085948182
lm - type of stenosis,0.0009002930489171578
lada - type of stenosis,0.00030683572050696934
ladb - type of stenosis,0.0005209130702068243
ladc - type of stenosis,-0.001112199177061096
d1 - type of stenosis,-5.6087462062708354e-05
d2 - type of stenosis,2.1258551156496543e-05
lcxa - type of stenosis,-5.278590253439786e-05
lcxb - type of stenosis,-0.0006331678889222629
lcxc -type of stenosis,0.0007905183733497303
lpd - type of stenosis,-0.00023810502831648318
lom1 - type of stenosis,-0.00016524974951511107
lom2 - type of stenosis,-0.0001885069247026639
im - type of stenosis,-5.548317669850075e-05
lpl - type of stenosis,0.0002318546352506337
rcaa - type of stenosis,4.5385019832182615e-05
rcab - type of stenosis,0.0006868387143996393
rcac - type of stenosis,-5.4894071039837505e-05
rpd - type of stenosis,0.0009033600707325449
rpl - type of stenosis,-0.00013161672903000619
stenosis type 1 count,9.721590251056773e-05
stenosis type 2 count,-0.0006253127070179725
max cta type,0.0007835296261158149
max high risk cta type,-0.001136217125309461
sis,-0.0007961352296522433
CTA PCA1,0.0004244923344519316
