,0
sex,-0.00047001260254224436
age,-7.21337462082551e-05
bmi,-0.001424469599494185
smoking,0.0007414116601833743
diabetes,0.0002466238877498021
hypertension,-0.0005210514578488436
dyslipidemia,-0.00018241268473223355
chestpain,0.0008476652480182709
dyspnea,-0.0007876734112645386
lm - type of stenosis,0.0010483169585602352
lada - type of stenosis,-0.0002536974036960211
ladb - type of stenosis,0.0008148301261323177
ladc - type of stenosis,-0.00021187874457833538
d1 - type of stenosis,-0.0008909930275175617
d2 - type of stenosis,6.954333124744479e-05
lcxa - type of stenosis,-0.0003061432689382726
lcxb - type of stenosis,0.00014079023421185356
lcxc -type of stenosis,-0.00012503521412986804
lpd - type of stenosis,-0.0005390255484162079
lom1 - type of stenosis,-0.0008904892227407547
lom2 - type of stenosis,-0.00047194119599724434
im - type of stenosis,-0.00041839463595186397
lpl - type of stenosis,-0.0006461884338187174
rcaa - type of stenosis,0.0006561211061743971
rcab - type of stenosis,0.001922078905560718
rcac - type of stenosis,-0.00014814951144732395
rpd - type of stenosis,-0.0010601405651290158
rpl - type of stenosis,0.0010976079443682624
stenosis type 1 count,0.0005384357747287136
stenosis type 2 count,-0.0017817909518847437
max cta type,0.004527836501406991
max high risk cta type,-0.0006505765700729405
sis,-0.0017204251182413998
CTA PCA1,0.0014023974255073725
