,0
sex,-0.00036189397988286247
age,-0.0010022641143370707
bmi,-0.0007838006624468388
smoking,0.00021060440301979904
diabetes,-9.73372014527127e-05
hypertension,0.0002445357674538421
dyslipidemia,3.414013583813222e-05
chestpain,0.0010827007711030796
dyspnea,-0.0006295487770190771
lm - type of stenosis,-0.0008475259482043455
lada - type of stenosis,0.00010457905672958502
ladb - type of stenosis,4.932432041713452e-05
ladc - type of stenosis,0.00024289017850907872
d1 - type of stenosis,9.13850499165068e-05
d2 - type of stenosis,0.00019588340819052977
lcxa - type of stenosis,5.050593194409706e-06
lcxb - type of stenosis,0.0006208473274859107
lcxc -type of stenosis,-0.00065482129629728
lpd - type of stenosis,-0.000341418512428181
lom1 - type of stenosis,-0.0010738379769811295
lom2 - type of stenosis,0.0007613840329635162
im - type of stenosis,-0.00021244404806407052
lpl - type of stenosis,-0.00014132512737137975
rcaa - type of stenosis,0.001704666281413621
rcab - type of stenosis,0.001279803315388218
rcac - type of stenosis,0.0004946948607341405
rpd - type of stenosis,-0.000548566059057089
rpl - type of stenosis,0.0007803319093631146
stenosis type 1 count,0.000406800162186998
stenosis type 2 count,-0.0017327337253442519
max cta type,0.0029388789220180173
max high risk cta type,-0.0006658329400531231
sis,-0.0019179684814232462
CTA PCA1,0.0011222379995818794
