,0
lm - type of stenosis,0.00026515313009326907
lada - type of stenosis,-0.001155887799968451
ladb - type of stenosis,-0.00013671545480920222
ladc - type of stenosis,-0.00026161040973029365
d1 - type of stenosis,-0.0015377508346665315
d2 - type of stenosis,-0.0008218036300632617
lcxa - type of stenosis,-0.00035194210944060496
lcxb - type of stenosis,-0.0005931618064850589
lcxc -type of stenosis,-0.0016540332258472173
lpd - type of stenosis,-0.0010827382426216586
lom1 - type of stenosis,-0.0014646789766119613
lom2 - type of stenosis,-0.0002506111486337861
im - type of stenosis,-0.0004361522914989787
lpl - type of stenosis,-0.0003766636315315062
rcaa - type of stenosis,-0.0002590694923065841
rcab - type of stenosis,0.00023948264836642246
rcac - type of stenosis,-0.0006103288548733514
rpd - type of stenosis,-0.0010412610248822364
rpl - type of stenosis,0.0001759044380578076
stenosis type 1 count,0.0017239221393844993
stenosis type 2 count,-0.002740866975918662
max cta type,0.002736389707757579
max high risk cta type,-0.0021451974828722697
sis,-0.0007685812576337394
CTA PCA1,0.005491017988517844
