,0
lm - type of stenosis,0.0003084068173362871
lada - type of stenosis,0.0008793257361621954
ladb - type of stenosis,0.0005840155751908377
ladc - type of stenosis,-0.0008983555457768657
d1 - type of stenosis,-0.00040262884607923394
d2 - type of stenosis,-9.28374450193211e-05
lcxa - type of stenosis,9.274594237150897e-05
lcxb - type of stenosis,0.0005297443398955407
lcxc -type of stenosis,-0.000292229623304366
lpd - type of stenosis,0.0003017401397908231
lom1 - type of stenosis,-0.0004032289972914314
lom2 - type of stenosis,0.00018623867262768006
im - type of stenosis,0.00012002117749494408
lpl - type of stenosis,-0.00041896203820788764
rcaa - type of stenosis,0.0015522256084186728
rcab - type of stenosis,0.0015967500298972519
rcac - type of stenosis,0.0007878638248308678
rpd - type of stenosis,3.2414473969075107e-05
rpl - type of stenosis,6.0579169912848525e-06
stenosis type 1 count,0.00031923176235493385
stenosis type 2 count,-0.0019921390824062662
max cta type,0.003504152755405215
max high risk cta type,-0.002095788665744878
sis,-0.002516393338362945
CTA PCA1,0.0010387401419258107
