,0
lm - type of stenosis,0.001581478595760536
lada - type of stenosis,-0.00031241418230072086
ladb - type of stenosis,0.0005976275329518124
ladc - type of stenosis,-0.00046518697720483005
d1 - type of stenosis,-0.00010650238520875953
d2 - type of stenosis,-0.00023812363135499777
lcxa - type of stenosis,0.0008394428555207922
lcxb - type of stenosis,0.0002792272992673793
lcxc -type of stenosis,4.827753962645879e-05
lpd - type of stenosis,-0.00011184860752511006
lom1 - type of stenosis,-0.000877476234870084
lom2 - type of stenosis,-0.00042784768180602394
im - type of stenosis,-0.00036386194612246937
lpl - type of stenosis,-0.00028825624257588296
rcaa - type of stenosis,0.0003063197839296748
rcab - type of stenosis,0.0011846799856808073
rcac - type of stenosis,-0.0003150131415188206
rpd - type of stenosis,-8.038371184905012e-05
rpl - type of stenosis,0.0006378182253550275
str_seg_1,0.0024332404203308983
str_seg_4,-0.0008278964062293477
str_seg_5,0.0008077022241478275
str_seg_6,0.0008109816028024557
str_seg_7,0.0024382944525171203
str_seg_8,-0.0028380045909725117
str_seg_9,0.0001791517818469656
str_seg_10,0.003829687301845971
str_seg_11,-0.002751844482777718
str_seg_12,-0.00023744045650683906
str_seg_13,-0.004305230009330455
str_seg_14,3.0335054606363824e-05
str_seg_15,0.003148730794396262
str_seg_16,-0.0011798795383860694
str_seg_17,-0.0015980095882928576
stenosis type 1 count,-0.00023601652173088706
stenosis type 2 count,1.408938397116273e-05
max cta type,0.0020134538745724163
max high risk cta type,-0.0004184654620474091
sis,-0.0004723111721174068
max_str_seg,-0.003242617561908359
max_lad_str,0.00471381212948015
max_lcx_str,-0.0003230981512415944
max_rca_str,0.0006070771558742904
non-zero pet segs,-0.0011440950990635231
