,0
lm - type of stenosis,0.0008073356102979937
lada - type of stenosis,-0.00014522520292418545
ladb - type of stenosis,0.0005242147272566599
ladc - type of stenosis,-0.0009091842227241917
d1 - type of stenosis,0.0003907968041349976
d2 - type of stenosis,4.48883017099553e-05
lcxa - type of stenosis,-0.00011050075401933105
lcxb - type of stenosis,-0.0007211511277138132
lcxc -type of stenosis,0.0007916664454783168
lpd - type of stenosis,-0.00012283268705801304
lom1 - type of stenosis,-0.0006820657283941054
lom2 - type of stenosis,-0.00020905443605822197
im - type of stenosis,-0.0001630238678828196
lpl - type of stenosis,7.472096557007823e-05
rcaa - type of stenosis,-7.922696885058422e-06
rcab - type of stenosis,0.0011501489995988214
rcac - type of stenosis,-0.00015104202764474396
rpd - type of stenosis,0.0013120442235716363
rpl - type of stenosis,-0.00042266308576523176
str_seg_1,-0.0012667891025947122
str_seg_4,-0.0014476950288391842
str_seg_5,0.002067097882668743
str_seg_6,0.002031328746694416
str_seg_7,0.0015787232570123508
str_seg_8,-0.001979573200950308
str_seg_9,0.0030231699614425207
str_seg_10,0.0018206924319476513
str_seg_11,-0.0019151681109196507
str_seg_12,-0.001759373534296025
str_seg_13,-0.003220059814367313
str_seg_14,0.0011287653949801381
str_seg_15,0.002611235741979713
str_seg_16,0.00010255892062167398
str_seg_17,-0.0005604803270059676
stenosis type 1 count,-3.840537852647045e-05
stenosis type 2 count,-0.0002378686983818273
max cta type,0.0010933069805770922
max high risk cta type,-0.00026968331662156994
sis,-0.0004609075028660263
max_str_seg,0.0028608678911969834
max_lad_str,0.0011644578034028592
max_lcx_str,-0.0007079566303848049
max_rca_str,-0.0008109638898024044
non-zero pet segs,-0.0026883851888256727
