,0
sex,-6.554937671243987e-06
age,0.0007298636070787126
bmi,-0.0001064129923678948
smoking,-5.913948263395523e-05
diabetes,0.0002980725152064667
hypertension,-0.00011162205421888811
dyslipidemia,0.00033431803272039823
chestpain,-0.0001586370123134941
dyspnea,-0.0004163513380485755
lm - type of stenosis,0.0004685722543319005
lada - type of stenosis,-0.0006900237577831556
ladb - type of stenosis,0.0004588973791150051
ladc - type of stenosis,-0.0007618386885813276
d1 - type of stenosis,-2.9201823570800474e-06
d2 - type of stenosis,5.90008615611355e-05
lcxa - type of stenosis,0.0002399103719249906
lcxb - type of stenosis,-0.0008072953125745129
lcxc -type of stenosis,0.0009878141447232677
lpd - type of stenosis,-0.0003776796904334441
lom1 - type of stenosis,-0.0007137126864027257
lom2 - type of stenosis,8.797507314619263e-06
im - type of stenosis,0.0005276015951536929
lpl - type of stenosis,0.00014641390401484022
rcaa - type of stenosis,0.0002981326695760952
rcab - type of stenosis,0.0007031010052461023
rcac - type of stenosis,-0.00023603874513267376
rpd - type of stenosis,0.00037016083318013927
rpl - type of stenosis,-0.00022232053975539045
str_seg_1,-0.0016302990326501217
str_seg_4,-0.0006779962450696849
str_seg_5,0.0010865354369518254
str_seg_6,0.00289673787090351
str_seg_7,0.0009361808196474417
str_seg_8,-0.0018092467553278702
str_seg_9,0.002667084522552353
str_seg_10,0.0008062884698047891
str_seg_11,-0.0030200372599353755
str_seg_12,-0.0031586868720823425
str_seg_13,-0.003044458171195476
str_seg_14,0.00014130363947106016
str_seg_15,0.004444118075669646
str_seg_16,0.0035084766928566865
str_seg_17,-0.0006498539533573285
stenosis type 1 count,6.817698551447288e-05
stenosis type 2 count,-0.000264312680718969
max cta type,0.002122187696380039
max high risk cta type,-0.0005989292460241523
sis,-0.0002797300954400511
max_str_seg,0.0019292398573237575
max_lad_str,0.0019410075167124517
max_lcx_str,-0.002672001240890363
max_rca_str,-0.0008831015968858312
non-zero pet segs,-0.0008132373779206536
