,0
sex,-0.0004530742818734874
age,-0.0004243758730430841
bmi,-0.0008423261881204994
smoking,0.0003249605816341342
diabetes,0.00022651528559469914
hypertension,-1.4827187318709693e-05
dyslipidemia,-0.0002593199208177195
chestpain,0.0012353174067323992
dyspnea,-0.000262521536831857
lm - type of stenosis,-0.0002840175559327832
lada - type of stenosis,2.3720339123121216e-06
ladb - type of stenosis,0.0005819880837366389
ladc - type of stenosis,-0.00026368722821249553
d1 - type of stenosis,0.00035107149186863507
d2 - type of stenosis,0.0005002985032776983
lcxa - type of stenosis,-0.0001984430439209603
lcxb - type of stenosis,0.0012713746040696329
lcxc -type of stenosis,-0.0004992932670265607
lpd - type of stenosis,-0.000440016438510364
lom1 - type of stenosis,-0.0004371973703017031
lom2 - type of stenosis,4.731410145601508e-05
im - type of stenosis,0.00023073816311292933
lpl - type of stenosis,-0.0006241042514162496
rcaa - type of stenosis,0.0005919260899707177
rcab - type of stenosis,0.0009302578764595591
rcac - type of stenosis,0.00029610659444550695
rpd - type of stenosis,-0.00027916306507683647
rpl - type of stenosis,0.0003129064201599505
str_seg_1,-0.005752848472372335
str_seg_4,-0.006004835963808195
str_seg_5,0.0021137938439639596
str_seg_6,8.23363594493929e-05
str_seg_7,0.003334866101978096
str_seg_8,0.0035601103125453585
str_seg_9,0.0022470326077284664
str_seg_10,-0.002047318894879878
str_seg_11,0.001614175431985897
str_seg_12,0.001433791231629759
str_seg_13,-0.00040321908128067746
str_seg_14,0.000937558184556902
str_seg_15,0.004470009051831023
str_seg_16,-0.0024265274146121232
str_seg_17,-7.233436141239349e-05
stenosis type 1 count,4.251315198456263e-05
stenosis type 2 count,-0.0007624220318252932
max cta type,0.003062521646391148
max high risk cta type,-0.001003077553299751
sis,-0.0011300842048998106
max_str_seg,0.007620803765346915
max_lad_str,-0.0037843143010439727
max_lcx_str,-0.003925933229088616
max_rca_str,0.0036687610236247675
non-zero pet segs,0.0002571021043399818
