,0
lm - type of stenosis,-0.0001389789241883608
lada - type of stenosis,-3.304437620490462e-05
ladb - type of stenosis,0.001131456330312891
ladc - type of stenosis,-0.0004291037189791232
d1 - type of stenosis,-0.0005844224177947801
d2 - type of stenosis,0.0005638974882512368
lcxa - type of stenosis,0.00020920474325093096
lcxb - type of stenosis,0.0014294740088559368
lcxc -type of stenosis,-0.0006086749919656828
lpd - type of stenosis,2.243770364704461e-06
lom1 - type of stenosis,-0.0003062635356428989
lom2 - type of stenosis,0.00044072315516303256
im - type of stenosis,0.00025391927468685276
lpl - type of stenosis,5.062496542966378e-05
rcaa - type of stenosis,0.000632373924661805
rcab - type of stenosis,0.0012564533008688095
rcac - type of stenosis,0.00018983834122060235
rpd - type of stenosis,-0.00034043946954845925
rpl - type of stenosis,0.00014301805259340578
str_seg_1,-0.0029601178303699923
str_seg_4,-0.00048235738339170406
str_seg_5,0.002340987882660573
str_seg_6,-0.001413994422352367
str_seg_7,0.0036333608262778816
str_seg_8,0.0073394551252670606
str_seg_9,-0.0019394402362046224
str_seg_10,-0.0037872798151187895
str_seg_11,0.001490516005377646
str_seg_12,-1.3718253055566178e-05
str_seg_13,-0.0035568278457171988
str_seg_14,0.0007183926895307582
str_seg_15,0.003068054108567645
str_seg_16,0.0003221806297544465
str_seg_17,0.0008509714145230876
stenosis type 1 count,-5.11210704701403e-05
stenosis type 2 count,-0.0007370272100946154
max cta type,0.0032383965100648802
max high risk cta type,-0.0009542687030456336
sis,-0.0012857917537008338
max_str_seg,0.005708773117811247
max_lad_str,-0.0015351265144792985
max_lcx_str,-0.002814783152329134
max_rca_str,0.003517419869296496
non-zero pet segs,-0.002228480780475324
