,0
lm - type of stenosis,0.0005684519189471847
lada - type of stenosis,-0.0010082561058904517
ladb - type of stenosis,-0.0013784398463545578
ladc - type of stenosis,-0.0010160691326149313
d1 - type of stenosis,-0.001304623025304527
d2 - type of stenosis,-0.00045057481972309704
lcxa - type of stenosis,-5.852009419458354e-05
lcxb - type of stenosis,-0.000623894434028245
lcxc -type of stenosis,-0.0011418687322710174
lpd - type of stenosis,-0.0002275609535391288
lom1 - type of stenosis,-0.001312479742856913
lom2 - type of stenosis,-0.0009547072194320414
im - type of stenosis,-0.00012353296826519552
lpl - type of stenosis,-0.000510470764800566
rcaa - type of stenosis,-0.0013762611138522962
rcab - type of stenosis,-0.0008705983986695736
rcac - type of stenosis,-0.0014741797119095794
rpd - type of stenosis,-0.0005693344215064978
rpl - type of stenosis,0.0006246717040407112
str_seg_1,-0.0004225619160213959
str_seg_4,0.00013737862799921324
str_seg_5,0.0005633232009477792
str_seg_6,-0.000983130798550835
str_seg_7,5.776889949795102e-05
str_seg_8,-0.001037824440687434
str_seg_9,0.0008725971573074906
str_seg_10,0.0016460626743098252
str_seg_11,-0.004456622620138465
str_seg_12,0.0013596575123337802
str_seg_13,-0.00017437918428668208
str_seg_14,-0.0007321915954890633
str_seg_15,0.006117844541866374
str_seg_16,-0.0019464630637662332
str_seg_17,-0.0029026512268090494
stenosis type 1 count,0.0012409781222398437
stenosis type 2 count,-0.0007492376643833799
max cta type,0.001275709641833776
max high risk cta type,-0.0023950860856255833
sis,0.0014037509605210007
max_str_seg,0.0021214552690678023
max_lad_str,-0.0018452822276408547
max_lcx_str,-0.005353387980500694
max_rca_str,-0.005071455079396577
non-zero pet segs,-0.0005392935419870815
PCA1,0.005975541199127601
PCA2,0.0007127106286721044
