,0
lm - type of stenosis,-0.00027706656463095166
lada - type of stenosis,-0.0007764347283249728
ladb - type of stenosis,0.0003846815876387622
ladc - type of stenosis,-0.0008381135752753165
d1 - type of stenosis,-0.00018983055861981397
d2 - type of stenosis,-0.0001827087345310277
lcxa - type of stenosis,-0.0010738786790181368
lcxb - type of stenosis,-0.0008842096472869671
lcxc -type of stenosis,0.0007576557191191406
lpd - type of stenosis,2.6444202082002247e-06
lom1 - type of stenosis,-0.0002887358761121667
lom2 - type of stenosis,-0.00014070827359738013
im - type of stenosis,-4.532405234522125e-05
lpl - type of stenosis,-0.0007980921902201058
rcaa - type of stenosis,-0.00027647927218681144
rcab - type of stenosis,6.119283340068414e-05
rcac - type of stenosis,-0.0007925289910555187
rpd - type of stenosis,0.0001314286810983613
rpl - type of stenosis,-0.0007756450257708568
str_seg_1,-0.0004689157804069415
str_seg_4,0.000754014964498416
str_seg_5,0.0002463991047830136
str_seg_6,0.0013965598650420685
str_seg_7,0.0023031102729784312
str_seg_8,-0.0004656787083329252
str_seg_9,0.0017994096537128621
str_seg_10,-0.0005678378166613445
str_seg_11,0.0008208911855632842
str_seg_12,-0.003246268816028199
str_seg_13,-0.0023953561538935042
str_seg_14,-8.68339300541512e-05
str_seg_15,0.0012158924242012628
str_seg_16,-0.0005076959583364745
str_seg_17,0.00011861067973885997
stenosis type 1 count,0.0006645882170217001
stenosis type 2 count,-0.0006863219109992898
max cta type,6.684863501559793e-05
max high risk cta type,-0.0003310000050849863
sis,0.0002958789564426194
max_str_seg,0.002005860441143031
max_lad_str,-0.001824807660508168
max_lcx_str,-0.0012023185349165836
max_rca_str,-0.0021438587824485988
non-zero pet segs,-0.0014861496265583239
PCA1,0.0025149437651849514
PCA2,0.0001628856588067375
