,0
sex,-0.00010793022569316379
age,0.0003758215831286362
bmi,-0.0004137305524335836
smoking,7.519243207142234e-05
diabetes,0.00025231383555355364
hypertension,-0.0001412167687246945
dyslipidemia,-3.253152778280175e-05
chestpain,0.00030015437398157955
dyspnea,-0.00026171602191260324
lm - type of stenosis,0.000434619431281768
lada - type of stenosis,6.428609703574534e-05
ladb - type of stenosis,0.00028870001151060857
ladc - type of stenosis,-0.00024559422461380864
d1 - type of stenosis,0.0003674946643345045
d2 - type of stenosis,0.00033416125097899776
lcxa - type of stenosis,0.00041459441835181706
lcxb - type of stenosis,-0.000322683187349627
lcxc -type of stenosis,0.000688971256231848
lpd - type of stenosis,6.802116565413813e-05
lom1 - type of stenosis,-0.0001503687506921011
lom2 - type of stenosis,0.0002571847269119352
im - type of stenosis,0.0003458164917237446
lpl - type of stenosis,-0.00024025809554838553
rcaa - type of stenosis,0.0004165636539862962
rcab - type of stenosis,0.0005023271671561484
rcac - type of stenosis,-9.21695808608547e-05
rpd - type of stenosis,0.0005556890038985216
rpl - type of stenosis,-0.00037912393735628665
str_seg_1,-0.0002854591843794256
str_seg_4,0.0006836709475488288
str_seg_5,-0.00017436159221663336
str_seg_6,0.0011568617966532444
str_seg_7,0.001857585053111116
str_seg_8,0.0005020814702079962
str_seg_9,0.0009114018712144603
str_seg_10,-0.0015042761467406235
str_seg_11,0.0027447514850988696
str_seg_12,-0.002880655842937192
str_seg_13,-0.00033168960282191123
str_seg_14,-0.0004976646941207772
str_seg_15,0.00035288286019957894
str_seg_16,-0.0021337834409164316
str_seg_17,0.0008162424068409426
stenosis type 1 count,-0.00015773181259506365
stenosis type 2 count,-0.00021971361913789077
max cta type,0.0011003436997347126
max high risk cta type,-0.00016855784743071518
sis,-0.0006820597686390949
max_str_seg,0.0009567624545611419
max_lad_str,-0.0016990453389045465
max_lcx_str,0.001886874409157398
max_rca_str,0.0012736336513721753
non-zero pet segs,-0.0002241886013699683
PCA1,-0.001196851822611122
PCA2,0.0004342523403806279
