,0
sex,-0.0005749778027658128
age,0.0010477363257052868
bmi,-0.0004720312871407684
smoking,5.121361657572076e-05
diabetes,0.0004266827595097495
hypertension,-0.00039150081281564614
dyslipidemia,0.00030894073296011183
chestpain,8.665890458508111e-05
dyspnea,-0.0006195940627833367
lm - type of stenosis,0.0014467454374087415
lada - type of stenosis,0.0005609472812935564
ladb - type of stenosis,0.0010684835986790498
ladc - type of stenosis,-0.00016910551670245544
d1 - type of stenosis,0.0003450011047438833
d2 - type of stenosis,0.0004317195050810356
lcxa - type of stenosis,0.0008220282136381556
lcxb - type of stenosis,0.00042445852812332427
lcxc -type of stenosis,0.0007937191380493963
lpd - type of stenosis,0.00016851291753115365
lom1 - type of stenosis,0.0001989129559977594
lom2 - type of stenosis,-0.0003710573911438842
im - type of stenosis,0.00015672127059799428
lpl - type of stenosis,-0.0002656363619366408
rcaa - type of stenosis,0.0010288210772999365
rcab - type of stenosis,0.0017079663908210595
rcac - type of stenosis,0.0002692631230322521
rpd - type of stenosis,0.0012954705927268081
rpl - type of stenosis,0.00018054944854412394
str_seg_1,-0.0009000769789452235
str_seg_4,-0.0012744191609123233
str_seg_5,0.0005388858449276799
str_seg_6,0.001807300497630481
str_seg_7,0.0019939132811789776
str_seg_8,0.0004931967316147865
str_seg_9,0.002707362379073537
str_seg_10,0.0031366807590869823
str_seg_11,0.0004608425359049692
str_seg_12,-0.0032441411441720934
str_seg_13,-0.0026781119070191416
str_seg_14,-0.00033102759582777423
str_seg_15,0.0008152293355356988
str_seg_16,0.0001855856715407836
str_seg_17,-0.0003500240834206496
stenosis type 1 count,-0.0008923190512246835
stenosis type 2 count,0.0002440353073484733
max cta type,0.0020123402789694583
max high risk cta type,0.0001985899803044575
sis,-0.0014806267972832608
max_str_seg,0.001776759725722174
max_lad_str,0.002522855317145146
max_lcx_str,0.0006160722515323202
max_rca_str,0.00014295728832745746
non-zero pet segs,0.0006445803977545838
PCA1,-0.003845889005365876
PCA2,0.000550291948262302
