,0
sex,-0.0017451704393791705
age,0.0020149488820576417
bmi,-0.0008424169621608328
smoking,0.0017213279803783535
diabetes,0.0010119325641350767
hypertension,-0.0014529585923304272
dyslipidemia,-0.000707021899128944
chestpain,0.001209029189471042
dyspnea,-0.0010029782116579519
lm - type of stenosis,0.0029606141730021884
lada - type of stenosis,0.001954710734292338
ladb - type of stenosis,0.0022508503367382063
ladc - type of stenosis,0.001235408259824692
d1 - type of stenosis,0.0006452448414155717
d2 - type of stenosis,0.0015258417789353607
lcxa - type of stenosis,0.0026841489148930666
lcxb - type of stenosis,0.0018342036863764233
lcxc -type of stenosis,0.0005476136691314505
lpd - type of stenosis,0.00012195932152704765
lom1 - type of stenosis,0.0006277364063331356
lom2 - type of stenosis,0.0002530602321799916
im - type of stenosis,0.0007936087037265268
lpl - type of stenosis,0.00017222139435136614
rcaa - type of stenosis,0.0030426100963566265
rcab - type of stenosis,0.0025606989862060063
rcac - type of stenosis,0.001499015556013309
rpd - type of stenosis,0.0009592140748641454
rpl - type of stenosis,0.002320181891092635
str_seg_1,-0.0028346307621217952
str_seg_4,-0.004035880274332878
str_seg_5,0.0006813389739761991
str_seg_6,-0.0007467209391918669
str_seg_7,0.001476333112531867
str_seg_8,0.005964421541541151
str_seg_9,-0.002755154357130163
str_seg_10,4.5044458276129e-05
str_seg_11,0.0047292320678368124
str_seg_12,0.0015889399200546429
str_seg_13,0.0007538437400424374
str_seg_14,0.0020949611734142727
str_seg_15,0.000899149907225162
str_seg_16,-0.002146849303838767
str_seg_17,0.0010998040629977546
stenosis type 1 count,-0.0025801365330850993
stenosis type 2 count,0.0012522941422184691
max cta type,0.00726053019383476
max high risk cta type,0.0014075041031535724
sis,-0.003407028813785612
max_str_seg,0.00492039923683289
max_lad_str,0.0021710579410515896
max_lcx_str,0.0037366021966837868
max_rca_str,0.007549409484564886
non-zero pet segs,0.004004806706031908
PCA1,-0.011282223064438403
PCA2,0.0013180513319828366
