,0
lm - type of stenosis,0.0013539675478054717
lada - type of stenosis,-3.0386155019915592e-05
ladb - type of stenosis,0.0008049465653191765
ladc - type of stenosis,-0.00038123644879703596
d1 - type of stenosis,-0.0004673571315703364
d2 - type of stenosis,-9.735688332740018e-05
lcxa - type of stenosis,0.0003389405693671587
lcxb - type of stenosis,0.0006638854025831414
lcxc -type of stenosis,-0.00033197233573185967
lpd - type of stenosis,-0.000494215288899274
lom1 - type of stenosis,-0.0009275010164517996
lom2 - type of stenosis,-0.0008208835486829364
im - type of stenosis,0.00025047865817072907
lpl - type of stenosis,0.00041287253236275674
rcaa - type of stenosis,0.00065690876521345
rcab - type of stenosis,0.0008684794586635428
rcac - type of stenosis,0.00031540182468106116
rpd - type of stenosis,-0.0008927791584593355
rpl - type of stenosis,0.0010057656827379587
str_seg_1,-0.004659022488024755
str_seg_4,-0.0016844245985646363
str_seg_5,-0.00128324317777672
str_seg_6,-0.002475957490977578
str_seg_7,0.0011165445474147972
str_seg_8,0.003411701710332745
str_seg_9,8.239991904278276e-05
str_seg_10,-0.001868994105884111
str_seg_11,0.002502581545995653
str_seg_12,0.005410604610934189
str_seg_13,-0.0014054900920672541
str_seg_14,0.001444873874443723
str_seg_15,0.0041070473618261116
str_seg_16,-0.003494074717944241
str_seg_17,-0.0005655655474562174
stenosis type 1 count,-9.36093836991e-05
stenosis type 2 count,-0.00046459476292551083
max cta type,0.0039310705738415585
max high risk cta type,-0.0006097684489058991
sis,-0.0009392170812926252
max_str_seg,0.006707940485977495
max_lad_str,0.0010397598904218586
max_lcx_str,-0.002542100376211114
max_rca_str,0.0008932688087957616
non-zero pet segs,-0.001932862397028037
PCA1,-0.00010975815577798779
PCA2,0.0009191666844415497
