,0
0,lm - type of stenosis
1,lada - type of stenosis
2,ladb - type of stenosis
3,ladc - type of stenosis
4,d1 - type of stenosis
5,d2 - type of stenosis
6,lcxa - type of stenosis
7,lcxb - type of stenosis
8,lcxc -type of stenosis
9,lpd - type of stenosis
10,lom1 - type of stenosis
11,lom2 - type of stenosis
12,im - type of stenosis
13,lpl - type of stenosis
14,rcaa - type of stenosis
15,rcab - type of stenosis
16,rcac - type of stenosis
17,rpd - type of stenosis
18,rpl - type of stenosis
19,stenosis type 1 count
20,stenosis type 2 count
21,max cta type
22,max high risk cta type
23,sis
